dataset,model,family,tier,date_years,row_errors,dimension,mastered,dim_rank,age_mid
pooled,openai-api/local/mistralai/mistral-7b-instruct-v0.2,Mistral,Mistral small,0.0383299110198494,4,Emotion Recognition,1,3,5.4
pooled,openai-api/local/mistralai/mistral-7b-instruct-v0.2,Mistral,Mistral small,0.0383299110198494,4,First-Order False Belief,0,4,5
pooled,openai-api/local/mistralai/mistral-7b-instruct-v0.2,Mistral,Mistral small,0.0383299110198494,4,Intention vs. Accident,1,5,6
pooled,openai-api/local/mistralai/mistral-7b-instruct-v0.2,Mistral,Mistral small,0.0383299110198494,4,Hidden Emotion (Appearance vs. Reality),0,6,7.25
pooled,openai-api/local/mistralai/mistral-7b-instruct-v0.2,Mistral,Mistral small,0.0383299110198494,4,Second-Order False Belief,1,7,7.25
pooled,openai-api/local/mistralai/mistral-7b-instruct-v0.2,Mistral,Mistral small,0.0383299110198494,4,White Lies / Prosocial Deception,0,8,7.5
pooled,openai-api/local/mistralai/mistral-7b-instruct-v0.2,Mistral,Mistral small,0.0383299110198494,4,Sarcasm,0,9,8.5
pooled,openai-api/local/mistralai/mistral-7b-instruct-v0.2,Mistral,Mistral small,0.0383299110198494,4,Faux Pas Detection,0,10,10.5
pooled,openai-api/local/mistralai/mistral-7b-instruct-v0.2,Mistral,Mistral small,0.0383299110198494,4,Irony,1,11,8
pooled,openai-api/local/qwen/qwen-1.5-72b-chat,Qwen,Qwen large,0.0930869267624914,2,Diverse Desires,1,0,3
pooled,openai-api/local/qwen/qwen-1.5-72b-chat,Qwen,Qwen large,0.0930869267624914,2,Diverse Beliefs,1,1,4
pooled,openai-api/local/qwen/qwen-1.5-72b-chat,Qwen,Qwen large,0.0930869267624914,2,Knowledge Access / Ignorance,1,2,4
pooled,openai-api/local/qwen/qwen-1.5-72b-chat,Qwen,Qwen large,0.0930869267624914,2,Emotion Recognition,1,3,5.4
pooled,openai-api/local/qwen/qwen-1.5-72b-chat,Qwen,Qwen large,0.0930869267624914,2,First-Order False Belief,1,4,5
pooled,openai-api/local/qwen/qwen-1.5-72b-chat,Qwen,Qwen large,0.0930869267624914,2,Intention vs. Accident,1,5,6
pooled,openai-api/local/qwen/qwen-1.5-72b-chat,Qwen,Qwen large,0.0930869267624914,2,Hidden Emotion (Appearance vs. Reality),1,6,7.25
pooled,openai-api/local/qwen/qwen-1.5-72b-chat,Qwen,Qwen large,0.0930869267624914,2,Second-Order False Belief,1,7,7.25
pooled,openai-api/local/qwen/qwen-1.5-72b-chat,Qwen,Qwen large,0.0930869267624914,2,White Lies / Prosocial Deception,1,8,7.5
pooled,openai-api/local/qwen/qwen-1.5-72b-chat,Qwen,Qwen large,0.0930869267624914,2,Sarcasm,1,9,8.5
pooled,openai-api/local/qwen/qwen-1.5-72b-chat,Qwen,Qwen large,0.0930869267624914,2,Faux Pas Detection,0,10,10.5
pooled,openai-api/local/qwen/qwen-1.5-72b-chat,Qwen,Qwen large,0.0930869267624914,2,Irony,1,11,8
pooled,openai-api/local/qwen/qwen1.5-14b-chat,Qwen,Qwen mid,0.0930869267624914,2,Diverse Desires,0,0,3
pooled,openai-api/local/qwen/qwen1.5-14b-chat,Qwen,Qwen mid,0.0930869267624914,2,Diverse Beliefs,1,1,4
pooled,openai-api/local/qwen/qwen1.5-14b-chat,Qwen,Qwen mid,0.0930869267624914,2,Knowledge Access / Ignorance,0,2,4
pooled,openai-api/local/qwen/qwen1.5-14b-chat,Qwen,Qwen mid,0.0930869267624914,2,Emotion Recognition,0,3,5.4
pooled,openai-api/local/qwen/qwen1.5-14b-chat,Qwen,Qwen mid,0.0930869267624914,2,First-Order False Belief,0,4,5
pooled,openai-api/local/qwen/qwen1.5-14b-chat,Qwen,Qwen mid,0.0930869267624914,2,Intention vs. Accident,0,5,6
pooled,openai-api/local/qwen/qwen1.5-14b-chat,Qwen,Qwen mid,0.0930869267624914,2,Hidden Emotion (Appearance vs. Reality),0,6,7.25
pooled,openai-api/local/qwen/qwen1.5-14b-chat,Qwen,Qwen mid,0.0930869267624914,2,Second-Order False Belief,1,7,7.25
pooled,openai-api/local/qwen/qwen1.5-14b-chat,Qwen,Qwen mid,0.0930869267624914,2,White Lies / Prosocial Deception,0,8,7.5
pooled,openai-api/local/qwen/qwen1.5-14b-chat,Qwen,Qwen mid,0.0930869267624914,2,Sarcasm,0,9,8.5
pooled,openai-api/local/qwen/qwen1.5-14b-chat,Qwen,Qwen mid,0.0930869267624914,2,Faux Pas Detection,0,10,10.5
pooled,openai-api/local/qwen/qwen1.5-14b-chat,Qwen,Qwen mid,0.0930869267624914,2,Irony,0,11,8
pooled,openai-api/local/qwen/qwen1.5-7b-chat,Qwen,Qwen small,0.0930869267624914,2,Diverse Desires,1,0,3
pooled,openai-api/local/qwen/qwen1.5-7b-chat,Qwen,Qwen small,0.0930869267624914,2,Diverse Beliefs,1,1,4
pooled,openai-api/local/qwen/qwen1.5-7b-chat,Qwen,Qwen small,0.0930869267624914,2,Knowledge Access / Ignorance,0,2,4
pooled,openai-api/local/qwen/qwen1.5-7b-chat,Qwen,Qwen small,0.0930869267624914,2,Emotion Recognition,1,3,5.4
pooled,openai-api/local/qwen/qwen1.5-7b-chat,Qwen,Qwen small,0.0930869267624914,2,First-Order False Belief,0,4,5
pooled,openai-api/local/qwen/qwen1.5-7b-chat,Qwen,Qwen small,0.0930869267624914,2,Intention vs. Accident,0,5,6
pooled,openai-api/local/qwen/qwen1.5-7b-chat,Qwen,Qwen small,0.0930869267624914,2,Hidden Emotion (Appearance vs. Reality),0,6,7.25
pooled,openai-api/local/qwen/qwen1.5-7b-chat,Qwen,Qwen small,0.0930869267624914,2,Second-Order False Belief,0,7,7.25
pooled,openai-api/local/qwen/qwen1.5-7b-chat,Qwen,Qwen small,0.0930869267624914,2,White Lies / Prosocial Deception,0,8,7.5
pooled,openai-api/local/qwen/qwen1.5-7b-chat,Qwen,Qwen small,0.0930869267624914,2,Sarcasm,0,9,8.5
pooled,openai-api/local/qwen/qwen1.5-7b-chat,Qwen,Qwen small,0.0930869267624914,2,Faux Pas Detection,0,10,10.5
pooled,openai-api/local/qwen/qwen1.5-7b-chat,Qwen,Qwen small,0.0930869267624914,2,Irony,0,11,8
pooled,openai-api/local/meta-llama/llama-3-70b-instruct,Llama,Llama large,0.2956878850102669,0,Diverse Desires,1,0,3
pooled,openai-api/local/meta-llama/llama-3-70b-instruct,Llama,Llama large,0.2956878850102669,0,Diverse Beliefs,1,1,4
pooled,openai-api/local/meta-llama/llama-3-70b-instruct,Llama,Llama large,0.2956878850102669,0,Knowledge Access / Ignorance,1,2,4
pooled,openai-api/local/meta-llama/llama-3-70b-instruct,Llama,Llama large,0.2956878850102669,0,Emotion Recognition,1,3,5.4
pooled,openai-api/local/meta-llama/llama-3-70b-instruct,Llama,Llama large,0.2956878850102669,0,First-Order False Belief,1,4,5
pooled,openai-api/local/meta-llama/llama-3-70b-instruct,Llama,Llama large,0.2956878850102669,0,Intention vs. Accident,1,5,6
pooled,openai-api/local/meta-llama/llama-3-70b-instruct,Llama,Llama large,0.2956878850102669,0,Hidden Emotion (Appearance vs. Reality),1,6,7.25
pooled,openai-api/local/meta-llama/llama-3-70b-instruct,Llama,Llama large,0.2956878850102669,0,Second-Order False Belief,1,7,7.25
pooled,openai-api/local/meta-llama/llama-3-70b-instruct,Llama,Llama large,0.2956878850102669,0,White Lies / Prosocial Deception,1,8,7.5
pooled,openai-api/local/meta-llama/llama-3-70b-instruct,Llama,Llama large,0.2956878850102669,0,Sarcasm,1,9,8.5
pooled,openai-api/local/meta-llama/llama-3-70b-instruct,Llama,Llama large,0.2956878850102669,0,Faux Pas Detection,1,10,10.5
pooled,openai-api/local/meta-llama/llama-3-70b-instruct,Llama,Llama large,0.2956878850102669,0,Irony,1,11,8
pooled,openai-api/local/meta-llama/llama-3-8b-instruct,Llama,Llama small,0.2956878850102669,2,Diverse Desires,1,0,3
pooled,openai-api/local/meta-llama/llama-3-8b-instruct,Llama,Llama small,0.2956878850102669,2,Diverse Beliefs,1,1,4
pooled,openai-api/local/meta-llama/llama-3-8b-instruct,Llama,Llama small,0.2956878850102669,2,Knowledge Access / Ignorance,1,2,4
pooled,openai-api/local/meta-llama/llama-3-8b-instruct,Llama,Llama small,0.2956878850102669,2,Emotion Recognition,1,3,5.4
pooled,openai-api/local/meta-llama/llama-3-8b-instruct,Llama,Llama small,0.2956878850102669,2,First-Order False Belief,0,4,5
pooled,openai-api/local/meta-llama/llama-3-8b-instruct,Llama,Llama small,0.2956878850102669,2,Intention vs. Accident,1,5,6
pooled,openai-api/local/meta-llama/llama-3-8b-instruct,Llama,Llama small,0.2956878850102669,2,Hidden Emotion (Appearance vs. Reality),1,6,7.25
pooled,openai-api/local/meta-llama/llama-3-8b-instruct,Llama,Llama small,0.2956878850102669,2,Second-Order False Belief,1,7,7.25
pooled,openai-api/local/meta-llama/llama-3-8b-instruct,Llama,Llama small,0.2956878850102669,2,White Lies / Prosocial Deception,1,8,7.5
pooled,openai-api/local/meta-llama/llama-3-8b-instruct,Llama,Llama small,0.2956878850102669,2,Sarcasm,1,9,8.5
pooled,openai-api/local/meta-llama/llama-3-8b-instruct,Llama,Llama small,0.2956878850102669,2,Faux Pas Detection,1,10,10.5
pooled,openai-api/local/meta-llama/llama-3-8b-instruct,Llama,Llama small,0.2956878850102669,2,Irony,1,11,8
pooled,openai-api/local/mistralai/mistral-7b-instruct-v0.3,Mistral,Mistral small,0.3887748117727584,0,Diverse Desires,0,0,3
pooled,openai-api/local/mistralai/mistral-7b-instruct-v0.3,Mistral,Mistral small,0.3887748117727584,0,Diverse Beliefs,0,1,4
pooled,openai-api/local/mistralai/mistral-7b-instruct-v0.3,Mistral,Mistral small,0.3887748117727584,0,Knowledge Access / Ignorance,0,2,4
pooled,openai-api/local/mistralai/mistral-7b-instruct-v0.3,Mistral,Mistral small,0.3887748117727584,0,Emotion Recognition,0,3,5.4
pooled,openai-api/local/mistralai/mistral-7b-instruct-v0.3,Mistral,Mistral small,0.3887748117727584,0,First-Order False Belief,0,4,5
pooled,openai-api/local/mistralai/mistral-7b-instruct-v0.3,Mistral,Mistral small,0.3887748117727584,0,Intention vs. Accident,0,5,6
pooled,openai-api/local/mistralai/mistral-7b-instruct-v0.3,Mistral,Mistral small,0.3887748117727584,0,Hidden Emotion (Appearance vs. Reality),0,6,7.25
pooled,openai-api/local/mistralai/mistral-7b-instruct-v0.3,Mistral,Mistral small,0.3887748117727584,0,Second-Order False Belief,0,7,7.25
pooled,openai-api/local/mistralai/mistral-7b-instruct-v0.3,Mistral,Mistral small,0.3887748117727584,0,White Lies / Prosocial Deception,0,8,7.5
pooled,openai-api/local/mistralai/mistral-7b-instruct-v0.3,Mistral,Mistral small,0.3887748117727584,0,Sarcasm,0,9,8.5
pooled,openai-api/local/mistralai/mistral-7b-instruct-v0.3,Mistral,Mistral small,0.3887748117727584,0,Faux Pas Detection,0,10,10.5
pooled,openai-api/local/mistralai/mistral-7b-instruct-v0.3,Mistral,Mistral small,0.3887748117727584,0,Irony,0,11,8
pooled,openai-api/local/qwen/qwen2-72b-instruct,Qwen,Qwen large,0.4298425735797399,0,Diverse Desires,1,0,3
pooled,openai-api/local/qwen/qwen2-72b-instruct,Qwen,Qwen large,0.4298425735797399,0,Diverse Beliefs,1,1,4
pooled,openai-api/local/qwen/qwen2-72b-instruct,Qwen,Qwen large,0.4298425735797399,0,Knowledge Access / Ignorance,1,2,4
pooled,openai-api/local/qwen/qwen2-72b-instruct,Qwen,Qwen large,0.4298425735797399,0,Emotion Recognition,1,3,5.4
pooled,openai-api/local/qwen/qwen2-72b-instruct,Qwen,Qwen large,0.4298425735797399,0,First-Order False Belief,1,4,5
pooled,openai-api/local/qwen/qwen2-72b-instruct,Qwen,Qwen large,0.4298425735797399,0,Intention vs. Accident,1,5,6
pooled,openai-api/local/qwen/qwen2-72b-instruct,Qwen,Qwen large,0.4298425735797399,0,Hidden Emotion (Appearance vs. Reality),1,6,7.25
pooled,openai-api/local/qwen/qwen2-72b-instruct,Qwen,Qwen large,0.4298425735797399,0,Second-Order False Belief,1,7,7.25
pooled,openai-api/local/qwen/qwen2-72b-instruct,Qwen,Qwen large,0.4298425735797399,0,White Lies / Prosocial Deception,1,8,7.5
pooled,openai-api/local/qwen/qwen2-72b-instruct,Qwen,Qwen large,0.4298425735797399,0,Sarcasm,1,9,8.5
pooled,openai-api/local/qwen/qwen2-72b-instruct,Qwen,Qwen large,0.4298425735797399,0,Faux Pas Detection,1,10,10.5
pooled,openai-api/local/qwen/qwen2-72b-instruct,Qwen,Qwen large,0.4298425735797399,0,Irony,1,11,8
pooled,openai-api/local/qwen/qwen2-7b-instruct,Qwen,Qwen small,0.4298425735797399,2,Diverse Desires,1,0,3
pooled,openai-api/local/qwen/qwen2-7b-instruct,Qwen,Qwen small,0.4298425735797399,2,Diverse Beliefs,1,1,4
pooled,openai-api/local/qwen/qwen2-7b-instruct,Qwen,Qwen small,0.4298425735797399,2,Knowledge Access / Ignorance,1,2,4
pooled,openai-api/local/qwen/qwen2-7b-instruct,Qwen,Qwen small,0.4298425735797399,2,Emotion Recognition,1,3,5.4
pooled,openai-api/local/qwen/qwen2-7b-instruct,Qwen,Qwen small,0.4298425735797399,2,First-Order False Belief,0,4,5
pooled,openai-api/local/qwen/qwen2-7b-instruct,Qwen,Qwen small,0.4298425735797399,2,Intention vs. Accident,1,5,6
pooled,openai-api/local/qwen/qwen2-7b-instruct,Qwen,Qwen small,0.4298425735797399,2,Hidden Emotion (Appearance vs. Reality),1,6,7.25
pooled,openai-api/local/qwen/qwen2-7b-instruct,Qwen,Qwen small,0.4298425735797399,2,Second-Order False Belief,1,7,7.25
pooled,openai-api/local/qwen/qwen2-7b-instruct,Qwen,Qwen small,0.4298425735797399,2,White Lies / Prosocial Deception,1,8,7.5
pooled,openai-api/local/qwen/qwen2-7b-instruct,Qwen,Qwen small,0.4298425735797399,2,Sarcasm,1,9,8.5
pooled,openai-api/local/qwen/qwen2-7b-instruct,Qwen,Qwen small,0.4298425735797399,2,Faux Pas Detection,1,10,10.5
pooled,openai-api/local/qwen/qwen2-7b-instruct,Qwen,Qwen small,0.4298425735797399,2,Irony,1,11,8
pooled,openai/gpt-4o-mini,GPT,GPT mini,0.5448323066392882,2,Diverse Desires,1,0,3
pooled,openai/gpt-4o-mini,GPT,GPT mini,0.5448323066392882,2,Diverse Beliefs,1,1,4
pooled,openai/gpt-4o-mini,GPT,GPT mini,0.5448323066392882,2,Knowledge Access / Ignorance,1,2,4
pooled,openai/gpt-4o-mini,GPT,GPT mini,0.5448323066392882,2,Emotion Recognition,1,3,5.4
pooled,openai/gpt-4o-mini,GPT,GPT mini,0.5448323066392882,2,First-Order False Belief,1,4,5
pooled,openai/gpt-4o-mini,GPT,GPT mini,0.5448323066392882,2,Intention vs. Accident,1,5,6
pooled,openai/gpt-4o-mini,GPT,GPT mini,0.5448323066392882,2,Hidden Emotion (Appearance vs. Reality),1,6,7.25
pooled,openai/gpt-4o-mini,GPT,GPT mini,0.5448323066392882,2,Second-Order False Belief,1,7,7.25
pooled,openai/gpt-4o-mini,GPT,GPT mini,0.5448323066392882,2,White Lies / Prosocial Deception,1,8,7.5
pooled,openai/gpt-4o-mini,GPT,GPT mini,0.5448323066392882,2,Sarcasm,1,9,8.5
pooled,openai/gpt-4o-mini,GPT,GPT mini,0.5448323066392882,2,Faux Pas Detection,0,10,10.5
pooled,openai/gpt-4o-mini,GPT,GPT mini,0.5448323066392882,2,Irony,1,11,8
pooled,openai-api/local/meta-llama/llama-3.1-8b-instruct,Llama,Llama small,0.5585215605749486,2,Diverse Desires,1,0,3
pooled,openai-api/local/meta-llama/llama-3.1-8b-instruct,Llama,Llama small,0.5585215605749486,2,Diverse Beliefs,1,1,4
pooled,openai-api/local/meta-llama/llama-3.1-8b-instruct,Llama,Llama small,0.5585215605749486,2,Knowledge Access / Ignorance,1,2,4
pooled,openai-api/local/meta-llama/llama-3.1-8b-instruct,Llama,Llama small,0.5585215605749486,2,Emotion Recognition,1,3,5.4
pooled,openai-api/local/meta-llama/llama-3.1-8b-instruct,Llama,Llama small,0.5585215605749486,2,First-Order False Belief,0,4,5
pooled,openai-api/local/meta-llama/llama-3.1-8b-instruct,Llama,Llama small,0.5585215605749486,2,Intention vs. Accident,1,5,6
pooled,openai-api/local/meta-llama/llama-3.1-8b-instruct,Llama,Llama small,0.5585215605749486,2,Hidden Emotion (Appearance vs. Reality),1,6,7.25
pooled,openai-api/local/meta-llama/llama-3.1-8b-instruct,Llama,Llama small,0.5585215605749486,2,Second-Order False Belief,1,7,7.25
pooled,openai-api/local/meta-llama/llama-3.1-8b-instruct,Llama,Llama small,0.5585215605749486,2,White Lies / Prosocial Deception,1,8,7.5
pooled,openai-api/local/meta-llama/llama-3.1-8b-instruct,Llama,Llama small,0.5585215605749486,2,Sarcasm,1,9,8.5
pooled,openai-api/local/meta-llama/llama-3.1-8b-instruct,Llama,Llama small,0.5585215605749486,2,Faux Pas Detection,0,10,10.5
pooled,openai-api/local/meta-llama/llama-3.1-8b-instruct,Llama,Llama small,0.5585215605749486,2,Irony,1,11,8
pooled,openai/gpt-4o-2024-08-06,GPT,GPT standard,0.5968514715947981,0,Diverse Desires,1,0,3
pooled,openai/gpt-4o-2024-08-06,GPT,GPT standard,0.5968514715947981,0,Diverse Beliefs,1,1,4
pooled,openai/gpt-4o-2024-08-06,GPT,GPT standard,0.5968514715947981,0,Knowledge Access / Ignorance,1,2,4
pooled,openai/gpt-4o-2024-08-06,GPT,GPT standard,0.5968514715947981,0,Emotion Recognition,1,3,5.4
pooled,openai/gpt-4o-2024-08-06,GPT,GPT standard,0.5968514715947981,0,First-Order False Belief,1,4,5
pooled,openai/gpt-4o-2024-08-06,GPT,GPT standard,0.5968514715947981,0,Intention vs. Accident,1,5,6
pooled,openai/gpt-4o-2024-08-06,GPT,GPT standard,0.5968514715947981,0,Hidden Emotion (Appearance vs. Reality),1,6,7.25
pooled,openai/gpt-4o-2024-08-06,GPT,GPT standard,0.5968514715947981,0,Second-Order False Belief,1,7,7.25
pooled,openai/gpt-4o-2024-08-06,GPT,GPT standard,0.5968514715947981,0,White Lies / Prosocial Deception,1,8,7.5
pooled,openai/gpt-4o-2024-08-06,GPT,GPT standard,0.5968514715947981,0,Sarcasm,1,9,8.5
pooled,openai/gpt-4o-2024-08-06,GPT,GPT standard,0.5968514715947981,0,Faux Pas Detection,1,10,10.5
pooled,openai/gpt-4o-2024-08-06,GPT,GPT standard,0.5968514715947981,0,Irony,1,11,8
pooled,openai-api/local/qwen/qwen2.5-72b-instruct,Qwen,Qwen large,0.7173169062286106,0,Diverse Desires,1,0,3
pooled,openai-api/local/qwen/qwen2.5-72b-instruct,Qwen,Qwen large,0.7173169062286106,0,Diverse Beliefs,1,1,4
pooled,openai-api/local/qwen/qwen2.5-72b-instruct,Qwen,Qwen large,0.7173169062286106,0,Knowledge Access / Ignorance,1,2,4
pooled,openai-api/local/qwen/qwen2.5-72b-instruct,Qwen,Qwen large,0.7173169062286106,0,Emotion Recognition,1,3,5.4
pooled,openai-api/local/qwen/qwen2.5-72b-instruct,Qwen,Qwen large,0.7173169062286106,0,First-Order False Belief,1,4,5
pooled,openai-api/local/qwen/qwen2.5-72b-instruct,Qwen,Qwen large,0.7173169062286106,0,Intention vs. Accident,1,5,6
pooled,openai-api/local/qwen/qwen2.5-72b-instruct,Qwen,Qwen large,0.7173169062286106,0,Hidden Emotion (Appearance vs. Reality),1,6,7.25
pooled,openai-api/local/qwen/qwen2.5-72b-instruct,Qwen,Qwen large,0.7173169062286106,0,Second-Order False Belief,1,7,7.25
pooled,openai-api/local/qwen/qwen2.5-72b-instruct,Qwen,Qwen large,0.7173169062286106,0,White Lies / Prosocial Deception,1,8,7.5
pooled,openai-api/local/qwen/qwen2.5-72b-instruct,Qwen,Qwen large,0.7173169062286106,0,Sarcasm,1,9,8.5
pooled,openai-api/local/qwen/qwen2.5-72b-instruct,Qwen,Qwen large,0.7173169062286106,0,Faux Pas Detection,1,10,10.5
pooled,openai-api/local/qwen/qwen2.5-72b-instruct,Qwen,Qwen large,0.7173169062286106,0,Irony,1,11,8
pooled,openai-api/local/qwen/qwen2.5-7b-instruct,Qwen,Qwen small,0.7173169062286106,4,Diverse Desires,1,0,3
pooled,openai-api/local/qwen/qwen2.5-7b-instruct,Qwen,Qwen small,0.7173169062286106,4,Diverse Beliefs,1,1,4
pooled,openai-api/local/qwen/qwen2.5-7b-instruct,Qwen,Qwen small,0.7173169062286106,4,Knowledge Access / Ignorance,0,2,4
pooled,openai-api/local/qwen/qwen2.5-7b-instruct,Qwen,Qwen small,0.7173169062286106,4,Emotion Recognition,1,3,5.4
pooled,openai-api/local/qwen/qwen2.5-7b-instruct,Qwen,Qwen small,0.7173169062286106,4,First-Order False Belief,1,4,5
pooled,openai-api/local/qwen/qwen2.5-7b-instruct,Qwen,Qwen small,0.7173169062286106,4,Intention vs. Accident,1,5,6
pooled,openai-api/local/qwen/qwen2.5-7b-instruct,Qwen,Qwen small,0.7173169062286106,4,Hidden Emotion (Appearance vs. Reality),0,6,7.25
pooled,openai-api/local/qwen/qwen2.5-7b-instruct,Qwen,Qwen small,0.7173169062286106,4,Second-Order False Belief,1,7,7.25
pooled,openai-api/local/qwen/qwen2.5-7b-instruct,Qwen,Qwen small,0.7173169062286106,4,White Lies / Prosocial Deception,0,8,7.5
pooled,openai-api/local/qwen/qwen2.5-7b-instruct,Qwen,Qwen small,0.7173169062286106,4,Sarcasm,0,9,8.5
pooled,openai-api/local/qwen/qwen2.5-7b-instruct,Qwen,Qwen small,0.7173169062286106,4,Faux Pas Detection,1,10,10.5
pooled,openai-api/local/qwen/qwen2.5-7b-instruct,Qwen,Qwen small,0.7173169062286106,4,Irony,0,11,8
pooled,openai-api/local/meta-llama/llama-3.3-70b-instruct,Llama,Llama large,0.9308692676249144,0,Diverse Desires,1,0,3
pooled,openai-api/local/meta-llama/llama-3.3-70b-instruct,Llama,Llama large,0.9308692676249144,0,Diverse Beliefs,1,1,4
pooled,openai-api/local/meta-llama/llama-3.3-70b-instruct,Llama,Llama large,0.9308692676249144,0,Knowledge Access / Ignorance,1,2,4
pooled,openai-api/local/meta-llama/llama-3.3-70b-instruct,Llama,Llama large,0.9308692676249144,0,Emotion Recognition,1,3,5.4
pooled,openai-api/local/meta-llama/llama-3.3-70b-instruct,Llama,Llama large,0.9308692676249144,0,First-Order False Belief,1,4,5
pooled,openai-api/local/meta-llama/llama-3.3-70b-instruct,Llama,Llama large,0.9308692676249144,0,Intention vs. Accident,1,5,6
pooled,openai-api/local/meta-llama/llama-3.3-70b-instruct,Llama,Llama large,0.9308692676249144,0,Hidden Emotion (Appearance vs. Reality),1,6,7.25
pooled,openai-api/local/meta-llama/llama-3.3-70b-instruct,Llama,Llama large,0.9308692676249144,0,Second-Order False Belief,1,7,7.25
pooled,openai-api/local/meta-llama/llama-3.3-70b-instruct,Llama,Llama large,0.9308692676249144,0,White Lies / Prosocial Deception,1,8,7.5
pooled,openai-api/local/meta-llama/llama-3.3-70b-instruct,Llama,Llama large,0.9308692676249144,0,Sarcasm,1,9,8.5
pooled,openai-api/local/meta-llama/llama-3.3-70b-instruct,Llama,Llama large,0.9308692676249144,0,Faux Pas Detection,1,10,10.5
pooled,openai-api/local/meta-llama/llama-3.3-70b-instruct,Llama,Llama large,0.9308692676249144,0,Irony,1,11,8
pooled,openai/o1,GPT,GPT reasoning,0.9609856262833676,0,Diverse Desires,1,0,3
pooled,openai/o1,GPT,GPT reasoning,0.9609856262833676,0,Diverse Beliefs,1,1,4
pooled,openai/o1,GPT,GPT reasoning,0.9609856262833676,0,Knowledge Access / Ignorance,1,2,4
pooled,openai/o1,GPT,GPT reasoning,0.9609856262833676,0,Emotion Recognition,1,3,5.4
pooled,openai/o1,GPT,GPT reasoning,0.9609856262833676,0,First-Order False Belief,1,4,5
pooled,openai/o1,GPT,GPT reasoning,0.9609856262833676,0,Intention vs. Accident,1,5,6
pooled,openai/o1,GPT,GPT reasoning,0.9609856262833676,0,Hidden Emotion (Appearance vs. Reality),1,6,7.25
pooled,openai/o1,GPT,GPT reasoning,0.9609856262833676,0,Second-Order False Belief,1,7,7.25
pooled,openai/o1,GPT,GPT reasoning,0.9609856262833676,0,White Lies / Prosocial Deception,1,8,7.5
pooled,openai/o1,GPT,GPT reasoning,0.9609856262833676,0,Sarcasm,1,9,8.5
pooled,openai/o1,GPT,GPT reasoning,0.9609856262833676,0,Faux Pas Detection,1,10,10.5
pooled,openai/o1,GPT,GPT reasoning,0.9609856262833676,0,Irony,1,11,8
pooled,openai/o3-mini,GPT,GPT reasoning mini,1.0841889117043122,2,Diverse Desires,1,0,3
pooled,openai/o3-mini,GPT,GPT reasoning mini,1.0841889117043122,2,Diverse Beliefs,1,1,4
pooled,openai/o3-mini,GPT,GPT reasoning mini,1.0841889117043122,2,Knowledge Access / Ignorance,1,2,4
pooled,openai/o3-mini,GPT,GPT reasoning mini,1.0841889117043122,2,Emotion Recognition,1,3,5.4
pooled,openai/o3-mini,GPT,GPT reasoning mini,1.0841889117043122,2,First-Order False Belief,1,4,5
pooled,openai/o3-mini,GPT,GPT reasoning mini,1.0841889117043122,2,Intention vs. Accident,1,5,6
pooled,openai/o3-mini,GPT,GPT reasoning mini,1.0841889117043122,2,Hidden Emotion (Appearance vs. Reality),1,6,7.25
pooled,openai/o3-mini,GPT,GPT reasoning mini,1.0841889117043122,2,Second-Order False Belief,1,7,7.25
