model,task,created,log_file,dimension,construct,accuracy,stderr
openrouter/deepseek/deepseek-chat,tom_12dim_freeresponse,2026-07-14T19:25:59+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-25-59-00-00_tom-12dim-freeresponse_FgfhuBUd87XTDCUEGkNHUp.eval,Sarcasm,Pragmatic understanding,1.0,0.0
openrouter/deepseek/deepseek-chat,tom_12dim_freeresponse,2026-07-14T19:25:59+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-25-59-00-00_tom-12dim-freeresponse_FgfhuBUd87XTDCUEGkNHUp.eval,Second-Order False Belief,Belief reasoning,0.8,0.19999999999999998
openrouter/deepseek/deepseek-chat,tom_12dim_freeresponse,2026-07-14T19:25:59+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-25-59-00-00_tom-12dim-freeresponse_FgfhuBUd87XTDCUEGkNHUp.eval,White Lies / Prosocial Deception,Deception,1.0,0.0
openrouter/deepseek/deepseek-chat-v3-0324,tom_12dim_freeresponse,2026-07-14T19:31:21+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-31-21-00-00_tom-12dim-freeresponse_bP9abJh9NqcKP4MsP8MXNq.eval,ALL (overall),ALL (overall),0.9333333333333333,0.03247482002983031
openrouter/deepseek/deepseek-chat-v3-0324,tom_12dim_freeresponse,2026-07-14T19:31:21+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-31-21-00-00_tom-12dim-freeresponse_bP9abJh9NqcKP4MsP8MXNq.eval,Diverse Beliefs,Belief reasoning,1.0,0.0
openrouter/deepseek/deepseek-chat-v3-0324,tom_12dim_freeresponse,2026-07-14T19:31:21+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-31-21-00-00_tom-12dim-freeresponse_bP9abJh9NqcKP4MsP8MXNq.eval,Diverse Desires,Desire / intention inference,0.8,0.20000000000000004
openrouter/deepseek/deepseek-chat-v3-0324,tom_12dim_freeresponse,2026-07-14T19:31:21+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-31-21-00-00_tom-12dim-freeresponse_bP9abJh9NqcKP4MsP8MXNq.eval,Emotion Recognition,Emotion recognition,1.0,0.0
openrouter/deepseek/deepseek-chat-v3-0324,tom_12dim_freeresponse,2026-07-14T19:31:21+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-31-21-00-00_tom-12dim-freeresponse_bP9abJh9NqcKP4MsP8MXNq.eval,Faux Pas Detection,Pragmatic understanding,0.6,0.24494897427831783
openrouter/deepseek/deepseek-chat-v3-0324,tom_12dim_freeresponse,2026-07-14T19:31:21+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-31-21-00-00_tom-12dim-freeresponse_bP9abJh9NqcKP4MsP8MXNq.eval,First-Order False Belief,Belief reasoning,1.0,0.0
openrouter/deepseek/deepseek-chat-v3-0324,tom_12dim_freeresponse,2026-07-14T19:31:21+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-31-21-00-00_tom-12dim-freeresponse_bP9abJh9NqcKP4MsP8MXNq.eval,Hidden Emotion (Appearance vs. Reality),Emotion recognition,1.0,0.0
openrouter/deepseek/deepseek-chat-v3-0324,tom_12dim_freeresponse,2026-07-14T19:31:21+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-31-21-00-00_tom-12dim-freeresponse_bP9abJh9NqcKP4MsP8MXNq.eval,Intention vs. Accident,Desire / intention inference,1.0,0.0
openrouter/deepseek/deepseek-chat-v3-0324,tom_12dim_freeresponse,2026-07-14T19:31:21+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-31-21-00-00_tom-12dim-freeresponse_bP9abJh9NqcKP4MsP8MXNq.eval,Irony,Pragmatic understanding,1.0,0.0
openrouter/deepseek/deepseek-chat-v3-0324,tom_12dim_freeresponse,2026-07-14T19:31:21+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-31-21-00-00_tom-12dim-freeresponse_bP9abJh9NqcKP4MsP8MXNq.eval,Knowledge Access / Ignorance,Knowledge access,1.0,0.0
openrouter/deepseek/deepseek-chat-v3-0324,tom_12dim_freeresponse,2026-07-14T19:31:21+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-31-21-00-00_tom-12dim-freeresponse_bP9abJh9NqcKP4MsP8MXNq.eval,Sarcasm,Pragmatic understanding,1.0,0.0
openrouter/deepseek/deepseek-chat-v3-0324,tom_12dim_freeresponse,2026-07-14T19:31:21+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-31-21-00-00_tom-12dim-freeresponse_bP9abJh9NqcKP4MsP8MXNq.eval,Second-Order False Belief,Belief reasoning,0.8,0.19999999999999998
openrouter/deepseek/deepseek-chat-v3-0324,tom_12dim_freeresponse,2026-07-14T19:31:21+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-31-21-00-00_tom-12dim-freeresponse_bP9abJh9NqcKP4MsP8MXNq.eval,White Lies / Prosocial Deception,Deception,1.0,0.0
openrouter/deepseek/deepseek-r1,tom_12dim_freeresponse,2026-07-14T19:26:19+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-26-19-00-00_tom-12dim-freeresponse_GfrBSE9xMdLmiNzd7PTptS.eval,ALL (overall),ALL (overall),0.9,0.03905667329424715
openrouter/deepseek/deepseek-r1,tom_12dim_freeresponse,2026-07-14T19:26:19+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-26-19-00-00_tom-12dim-freeresponse_GfrBSE9xMdLmiNzd7PTptS.eval,Diverse Beliefs,Belief reasoning,1.0,0.0
openrouter/deepseek/deepseek-r1,tom_12dim_freeresponse,2026-07-14T19:26:19+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-26-19-00-00_tom-12dim-freeresponse_GfrBSE9xMdLmiNzd7PTptS.eval,Diverse Desires,Desire / intention inference,0.8,0.20000000000000004
openrouter/deepseek/deepseek-r1,tom_12dim_freeresponse,2026-07-14T19:26:19+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-26-19-00-00_tom-12dim-freeresponse_GfrBSE9xMdLmiNzd7PTptS.eval,Emotion Recognition,Emotion recognition,1.0,0.0
openrouter/deepseek/deepseek-r1,tom_12dim_freeresponse,2026-07-14T19:26:19+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-26-19-00-00_tom-12dim-freeresponse_GfrBSE9xMdLmiNzd7PTptS.eval,Faux Pas Detection,Pragmatic understanding,0.6,0.24494897427831783
openrouter/deepseek/deepseek-r1,tom_12dim_freeresponse,2026-07-14T19:26:19+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-26-19-00-00_tom-12dim-freeresponse_GfrBSE9xMdLmiNzd7PTptS.eval,First-Order False Belief,Belief reasoning,0.8,0.19999999999999998
openrouter/deepseek/deepseek-r1,tom_12dim_freeresponse,2026-07-14T19:26:19+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-26-19-00-00_tom-12dim-freeresponse_GfrBSE9xMdLmiNzd7PTptS.eval,Hidden Emotion (Appearance vs. Reality),Emotion recognition,0.8,0.20000000000000004
openrouter/deepseek/deepseek-r1,tom_12dim_freeresponse,2026-07-14T19:26:19+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-26-19-00-00_tom-12dim-freeresponse_GfrBSE9xMdLmiNzd7PTptS.eval,Intention vs. Accident,Desire / intention inference,1.0,0.0
openrouter/deepseek/deepseek-r1,tom_12dim_freeresponse,2026-07-14T19:26:19+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-26-19-00-00_tom-12dim-freeresponse_GfrBSE9xMdLmiNzd7PTptS.eval,Irony,Pragmatic understanding,1.0,0.0
openrouter/deepseek/deepseek-r1,tom_12dim_freeresponse,2026-07-14T19:26:19+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-26-19-00-00_tom-12dim-freeresponse_GfrBSE9xMdLmiNzd7PTptS.eval,Knowledge Access / Ignorance,Knowledge access,1.0,0.0
openrouter/deepseek/deepseek-r1,tom_12dim_freeresponse,2026-07-14T19:26:19+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-26-19-00-00_tom-12dim-freeresponse_GfrBSE9xMdLmiNzd7PTptS.eval,Sarcasm,Pragmatic understanding,1.0,0.0
openrouter/deepseek/deepseek-r1,tom_12dim_freeresponse,2026-07-14T19:26:19+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-26-19-00-00_tom-12dim-freeresponse_GfrBSE9xMdLmiNzd7PTptS.eval,Second-Order False Belief,Belief reasoning,0.8,0.19999999999999998
openrouter/deepseek/deepseek-r1,tom_12dim_freeresponse,2026-07-14T19:26:19+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-26-19-00-00_tom-12dim-freeresponse_GfrBSE9xMdLmiNzd7PTptS.eval,White Lies / Prosocial Deception,Deception,1.0,0.0
openrouter/deepseek/deepseek-r1-0528,tom_12dim_freeresponse,2026-07-14T19:36:43+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-36-43-00-00_tom-12dim-freeresponse_GKJmms8zgoH8jfLYPWBgbZ.eval,ALL (overall),ALL (overall),0.9333333333333333,0.03247482002983031
openrouter/deepseek/deepseek-r1-0528,tom_12dim_freeresponse,2026-07-14T19:36:43+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-36-43-00-00_tom-12dim-freeresponse_GKJmms8zgoH8jfLYPWBgbZ.eval,Diverse Beliefs,Belief reasoning,1.0,0.0
openrouter/deepseek/deepseek-r1-0528,tom_12dim_freeresponse,2026-07-14T19:36:43+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-36-43-00-00_tom-12dim-freeresponse_GKJmms8zgoH8jfLYPWBgbZ.eval,Diverse Desires,Desire / intention inference,0.8,0.20000000000000004
openrouter/deepseek/deepseek-r1-0528,tom_12dim_freeresponse,2026-07-14T19:36:43+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-36-43-00-00_tom-12dim-freeresponse_GKJmms8zgoH8jfLYPWBgbZ.eval,Emotion Recognition,Emotion recognition,1.0,0.0
openrouter/deepseek/deepseek-r1-0528,tom_12dim_freeresponse,2026-07-14T19:36:43+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-36-43-00-00_tom-12dim-freeresponse_GKJmms8zgoH8jfLYPWBgbZ.eval,Faux Pas Detection,Pragmatic understanding,0.6,0.24494897427831783
openrouter/deepseek/deepseek-r1-0528,tom_12dim_freeresponse,2026-07-14T19:36:43+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-36-43-00-00_tom-12dim-freeresponse_GKJmms8zgoH8jfLYPWBgbZ.eval,First-Order False Belief,Belief reasoning,1.0,0.0
openrouter/deepseek/deepseek-r1-0528,tom_12dim_freeresponse,2026-07-14T19:36:43+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-36-43-00-00_tom-12dim-freeresponse_GKJmms8zgoH8jfLYPWBgbZ.eval,Hidden Emotion (Appearance vs. Reality),Emotion recognition,1.0,0.0
openrouter/deepseek/deepseek-r1-0528,tom_12dim_freeresponse,2026-07-14T19:36:43+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-36-43-00-00_tom-12dim-freeresponse_GKJmms8zgoH8jfLYPWBgbZ.eval,Intention vs. Accident,Desire / intention inference,1.0,0.0
openrouter/deepseek/deepseek-r1-0528,tom_12dim_freeresponse,2026-07-14T19:36:43+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-36-43-00-00_tom-12dim-freeresponse_GKJmms8zgoH8jfLYPWBgbZ.eval,Irony,Pragmatic understanding,1.0,0.0
openrouter/deepseek/deepseek-r1-0528,tom_12dim_freeresponse,2026-07-14T19:36:43+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-36-43-00-00_tom-12dim-freeresponse_GKJmms8zgoH8jfLYPWBgbZ.eval,Knowledge Access / Ignorance,Knowledge access,1.0,0.0
openrouter/deepseek/deepseek-r1-0528,tom_12dim_freeresponse,2026-07-14T19:36:43+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-36-43-00-00_tom-12dim-freeresponse_GKJmms8zgoH8jfLYPWBgbZ.eval,Sarcasm,Pragmatic understanding,1.0,0.0
openrouter/deepseek/deepseek-r1-0528,tom_12dim_freeresponse,2026-07-14T19:36:43+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-36-43-00-00_tom-12dim-freeresponse_GKJmms8zgoH8jfLYPWBgbZ.eval,Second-Order False Belief,Belief reasoning,0.8,0.20000000000000004
openrouter/deepseek/deepseek-r1-0528,tom_12dim_freeresponse,2026-07-14T19:36:43+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-36-43-00-00_tom-12dim-freeresponse_GKJmms8zgoH8jfLYPWBgbZ.eval,White Lies / Prosocial Deception,Deception,1.0,0.0
openrouter/google/gemma-2-27b-it,tom_12dim_freeresponse,2026-07-14T19:11:12+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-11-12-00-00_tom-12dim-freeresponse_EazPNEd5eRA2xAZdz2E7ra.eval,ALL (overall),ALL (overall),0.7666666666666667,0.05506373639622878
openrouter/google/gemma-2-27b-it,tom_12dim_freeresponse,2026-07-14T19:11:12+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-11-12-00-00_tom-12dim-freeresponse_EazPNEd5eRA2xAZdz2E7ra.eval,Diverse Beliefs,Belief reasoning,0.8,0.19999999999999998
openrouter/google/gemma-2-27b-it,tom_12dim_freeresponse,2026-07-14T19:11:12+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-11-12-00-00_tom-12dim-freeresponse_EazPNEd5eRA2xAZdz2E7ra.eval,Diverse Desires,Desire / intention inference,0.8,0.20000000000000004
openrouter/google/gemma-2-27b-it,tom_12dim_freeresponse,2026-07-14T19:11:12+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-11-12-00-00_tom-12dim-freeresponse_EazPNEd5eRA2xAZdz2E7ra.eval,Emotion Recognition,Emotion recognition,1.0,0.0
openrouter/google/gemma-2-27b-it,tom_12dim_freeresponse,2026-07-14T19:11:12+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-11-12-00-00_tom-12dim-freeresponse_EazPNEd5eRA2xAZdz2E7ra.eval,Faux Pas Detection,Pragmatic understanding,0.4,0.24494897427831783
openrouter/google/gemma-2-27b-it,tom_12dim_freeresponse,2026-07-14T19:11:12+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-11-12-00-00_tom-12dim-freeresponse_EazPNEd5eRA2xAZdz2E7ra.eval,First-Order False Belief,Belief reasoning,0.6,0.24494897427831783
openrouter/google/gemma-2-27b-it,tom_12dim_freeresponse,2026-07-14T19:11:12+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-11-12-00-00_tom-12dim-freeresponse_EazPNEd5eRA2xAZdz2E7ra.eval,Hidden Emotion (Appearance vs. Reality),Emotion recognition,0.8,0.20000000000000004
openrouter/google/gemma-2-27b-it,tom_12dim_freeresponse,2026-07-14T19:11:12+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-11-12-00-00_tom-12dim-freeresponse_EazPNEd5eRA2xAZdz2E7ra.eval,Intention vs. Accident,Desire / intention inference,0.8,0.20000000000000004
openrouter/google/gemma-2-27b-it,tom_12dim_freeresponse,2026-07-14T19:11:12+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-11-12-00-00_tom-12dim-freeresponse_EazPNEd5eRA2xAZdz2E7ra.eval,Irony,Pragmatic understanding,1.0,0.0
openrouter/google/gemma-2-27b-it,tom_12dim_freeresponse,2026-07-14T19:11:12+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-11-12-00-00_tom-12dim-freeresponse_EazPNEd5eRA2xAZdz2E7ra.eval,Knowledge Access / Ignorance,Knowledge access,1.0,0.0
openrouter/google/gemma-2-27b-it,tom_12dim_freeresponse,2026-07-14T19:11:12+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-11-12-00-00_tom-12dim-freeresponse_EazPNEd5eRA2xAZdz2E7ra.eval,Sarcasm,Pragmatic understanding,0.8,0.20000000000000004
openrouter/google/gemma-2-27b-it,tom_12dim_freeresponse,2026-07-14T19:11:12+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-11-12-00-00_tom-12dim-freeresponse_EazPNEd5eRA2xAZdz2E7ra.eval,Second-Order False Belief,Belief reasoning,0.4,0.24494897427831783
openrouter/google/gemma-2-27b-it,tom_12dim_freeresponse,2026-07-14T19:11:12+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-11-12-00-00_tom-12dim-freeresponse_EazPNEd5eRA2xAZdz2E7ra.eval,White Lies / Prosocial Deception,Deception,0.8,0.19999999999999998
openrouter/google/gemma-3-12b-it,tom_12dim_freeresponse,2026-07-14T19:30:34+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-30-34-00-00_tom-12dim-freeresponse_Q8RaYAi3NzXJbPMJecG4Nd.eval,ALL (overall),ALL (overall),0.85,0.046486739497974494
openrouter/google/gemma-3-12b-it,tom_12dim_freeresponse,2026-07-14T19:30:34+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-30-34-00-00_tom-12dim-freeresponse_Q8RaYAi3NzXJbPMJecG4Nd.eval,Diverse Beliefs,Belief reasoning,0.8,0.19999999999999998
openrouter/google/gemma-3-12b-it,tom_12dim_freeresponse,2026-07-14T19:30:34+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-30-34-00-00_tom-12dim-freeresponse_Q8RaYAi3NzXJbPMJecG4Nd.eval,Diverse Desires,Desire / intention inference,0.8,0.20000000000000004
openrouter/google/gemma-3-12b-it,tom_12dim_freeresponse,2026-07-14T19:30:34+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-30-34-00-00_tom-12dim-freeresponse_Q8RaYAi3NzXJbPMJecG4Nd.eval,Emotion Recognition,Emotion recognition,0.8,0.19999999999999998
openrouter/google/gemma-3-12b-it,tom_12dim_freeresponse,2026-07-14T19:30:34+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-30-34-00-00_tom-12dim-freeresponse_Q8RaYAi3NzXJbPMJecG4Nd.eval,Faux Pas Detection,Pragmatic understanding,0.6,0.24494897427831783
openrouter/google/gemma-3-12b-it,tom_12dim_freeresponse,2026-07-14T19:30:34+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-30-34-00-00_tom-12dim-freeresponse_Q8RaYAi3NzXJbPMJecG4Nd.eval,First-Order False Belief,Belief reasoning,0.8,0.19999999999999998
openrouter/google/gemma-3-12b-it,tom_12dim_freeresponse,2026-07-14T19:30:34+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-30-34-00-00_tom-12dim-freeresponse_Q8RaYAi3NzXJbPMJecG4Nd.eval,Hidden Emotion (Appearance vs. Reality),Emotion recognition,1.0,0.0
openrouter/google/gemma-3-12b-it,tom_12dim_freeresponse,2026-07-14T19:30:34+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-30-34-00-00_tom-12dim-freeresponse_Q8RaYAi3NzXJbPMJecG4Nd.eval,Intention vs. Accident,Desire / intention inference,1.0,0.0
openrouter/google/gemma-3-12b-it,tom_12dim_freeresponse,2026-07-14T19:30:34+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-30-34-00-00_tom-12dim-freeresponse_Q8RaYAi3NzXJbPMJecG4Nd.eval,Irony,Pragmatic understanding,1.0,0.0
openrouter/google/gemma-3-12b-it,tom_12dim_freeresponse,2026-07-14T19:30:34+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-30-34-00-00_tom-12dim-freeresponse_Q8RaYAi3NzXJbPMJecG4Nd.eval,Knowledge Access / Ignorance,Knowledge access,0.8,0.19999999999999998
openrouter/google/gemma-3-12b-it,tom_12dim_freeresponse,2026-07-14T19:30:34+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-30-34-00-00_tom-12dim-freeresponse_Q8RaYAi3NzXJbPMJecG4Nd.eval,Sarcasm,Pragmatic understanding,1.0,0.0
